cleanText,new_labels_1
our health department our city and our county declared racism as a public health crisis last year,1
significantly more people died of covid19 in two months than died of overdoses all of last year or the year before,1
in covid19 crisis only 20 of african americans had jobs where they could work from home,1
infection rates in allegany cattaraugus and chautauqua counties have consistently been among the lowest in the state,1
since the week ending march 14 wisconsin actually saw a drop in tourism spending compared to last year of 17 billion,1
if roe is overturned wisconsin has a law on the books that would immediately make abortion a crime,1
today the gap between african american and white homeownership is larger than it was in the late 1960s,1
research illustrates a clear correlation between vitamin d deficiencies and higher covid19 mortality rates,1
twothirds of americans disapprove of donald trump not wearing a face mask in public,1
says gloves shouldnt be worn in public because if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go,1
new york is one of only 12 states where the average gallon of gas costs more than 200,1
says its illegal to hold an absenteeonly election or mail ballots to every registered voter,1
small trials to test convalescent plasma therapy for coronavirus patients seem to have had some degree of success,1
says texas either is near the bottom or at the very bottom when it comes to testing per capita,1
north carolina is in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public,1
virginia has lagged behind other states when it comes to covid19 testing,1
until this week they osha werent even enforcing these guidelines for coronavirus still today osha is not specifying which rules employees must follow or how to keep their workers safe and healthy,1
the poor are ironically the most likely to be employed in the industries deemed essential while their upperclass peers are freed to bunker down for weeks until the first death wave passes,1
go look at other countries that went through exactly this started to reopen and then they saw the infection rate go back up again,1
africans living in china now being forced to sleep outside in the cold as chinese nationals blame them for the rising number of new coronavirus cases in the country,1
republicans have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more even in the middle of this public health crisis,1
before covid19 iowa had one of the lowest unemployment rates in the country and many employers were scrambling to find qualified employees to fill their job openings,1
says of the coronavirus threat there was not a single suggestion by anyone a doctor a scientist a political figure that we needed to cancel mardi gras,1
photo shows a crowded new york city subway train during stayathome order,1
on february 7 the who warned about the limited stock of ppe that same day the trump administration announced it was sending 18 tons of masks gowns and respirators to china,1
my mask will keep someone else safe and their mask will keep me safe,1
says longstanding food and drug administration regulations created barriers to the private industry creating a test quickly for the coronavirus,1
no city in the state can quarantine itself without state approval,1
says most nc legislators are in the high risk age group for coronavirus,1
says spectrum will provide free internet to students during coronavirus school closures,1
some states are only getting 50 tests per day and the utah jazz got 58,1
whole of italy goes into quarantine,1
the average wisconsin residents tax burden is at its lowest level in nearly 50 years while incomes continue to grow,1
youve raised a lot more money than i have bernie,1
